CycID	ARS_pvalue	ARS_BH.Q	ARS_period	ARS_adjphase	ARS_amplitude	meta2d_Base	meta2d_AMP	meta2d_rAMP	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88
Gene1	0.0104683870982528	0.0139310339720693	24	1.07171432651561	1.6320380071364	4.98293832394302	1.91087226156891	0.383483024942767	7.00873641364734	5.64626706079437	3.37680911542256	4.09424678663655	6.71647602243843	5.66409590208281	3.01198843757612	4.34488685294602
Gene2	0.000238701103530525	0.000863815814947618	24	10.3254230899673	1.84519342430182	4.95014506666059	1.88675593364135	0.381151644695975	3.40632263862774	5.7515389247214	6.69876010478472	4.10838886984018	3.16192589471003	5.40350227912597	6.85471620627035	4.21600561520434
Gene3	0.00486141024116882	0.00810685420984239	24	6.02746426966523	1.65976399107974	4.86996281085915	1.83170341542309	0.376122670041487	5.47181186527523	6.77278473918741	4.81270569014051	2.77389097814202	4.8556701782711	6.64561851476704	4.59205210417454	3.03516841691538
Gene4	0.000716264098630015	0.00196236739350689	24	7.04785808392409	1.8687012150408	5.0050103240549	1.95791852839831	0.391191706236496	4.76860439328355	6.90677808812721	5.37790359035693	3.08810685768857	4.66390354113729	6.95285513467944	5.39262029548223	2.88931069168401
Gene5	0.00518769700896438	0.00851251244112346	24	6.07921840719464	1.7096376172282	4.97471078871638	1.88138736077528	0.378190299030575	5.18523977940973	6.96261008509904	4.93243093132185	3.34719410817905	4.9625497179646	7.12011115789999	4.37313928805572	2.91441124180108
Gene6	0.0149611292519785	0.0172628414445906	24	15.7356092246123	1.53350371467202	4.96518949520673	1.87814005227007	0.378261505242282	3.66939646350386	3.1993438516078	6.05869953755673	6.4025404935046	3.91167855553532	3.56953136517972	6.20303090845553	6.7072947863103
Gene7	0.00267814528810506	0.0052307525158302	24	18.3173425701148	1.78409382536156	4.99640083184884	1.93814965447668	0.387909160954866	4.82872330498314	3.15258776391896	5.06082203186554	7.08491653935558	5.01103259373342	3.01221351659586	4.90799519117286	6.91291571316536
Gene8	0.00116688223221462	0.00278977280927986	24	6.86094082964847	1.7250414571886	5.04524398092046	1.82302018778211	0.36133439625045	4.78206611781766	7.00199808599538	5.24164509444519	3.11672734483915	4.87189162625986	6.71661082952502	5.35459876386993	3.2764139846115
Gene9	5.52681145911116e-05	0.000293569699373007	24	7.90281196708599	1.98568804386808	4.97935093652493	2.01651741600676	0.4049759580541	4.32714160623883	6.96943493526539	5.91805151631672	3.27831460426296	4.08823046671192	6.77565577049438	5.64052451552389	2.83745407738535
Gene10	0.00209299115729822	0.00436039824437129	24	11.5411811663773	1.97997713644301	5.03683682036265	2.13492538352971	0.423862328614409	2.84524988135056	5.04766878501927	7.20057846970202	5.0910397084538	2.9679455792685	5.04819822154642	7.25684310980486	4.83717080775578
Gene11	2.88855670900201e-05	0.000190147097471225	24	9.36031566395318	1.9441382900251	5.03832374518684	1.94742921045808	0.386523238471619	3.62298422628146	6.40012034363019	6.32222477113648	3.77809820060357	3.29822295471477	6.15888153321527	6.74647491595752	3.97958301595547
